subject,theoretically_best_scores,variable,val,delta,Method
0,0.966,one_sample_scores,0.921,0.04499999999999993,Covarite Model + 1 Sample
1,0.588,one_sample_scores,0.409,0.179,Covarite Model + 1 Sample
2,0.969,one_sample_scores,0.809,0.15999999999999992,Covarite Model + 1 Sample
3,0.98,one_sample_scores,0.943,0.03700000000000003,Covarite Model + 1 Sample
4,0.808,one_sample_scores,0.747,0.061000000000000054,Covarite Model + 1 Sample
5,0.709,one_sample_scores,0.631,0.07799999999999996,Covarite Model + 1 Sample
6,0.755,one_sample_scores,0.703,0.052000000000000046,Covarite Model + 1 Sample
7,0.766,one_sample_scores,0.702,0.06400000000000006,Covarite Model + 1 Sample
8,0.61,one_sample_scores,0.549,0.06099999999999994,Covarite Model + 1 Sample
9,0.885,one_sample_scores,0.875,0.010000000000000009,Covarite Model + 1 Sample
10,0.922,one_sample_scores,0.814,0.1080000000000001,Covarite Model + 1 Sample
11,0.629,one_sample_scores,0.623,0.006000000000000005,Covarite Model + 1 Sample
12,0.5,one_sample_scores,0.403,0.09699999999999998,Covarite Model + 1 Sample
13,0.813,one_sample_scores,0.617,0.19599999999999995,Covarite Model + 1 Sample
14,0.953,one_sample_scores,0.897,0.05599999999999994,Covarite Model + 1 Sample
15,0.985,one_sample_scores,0.961,0.02400000000000002,Covarite Model + 1 Sample
16,0.739,one_sample_scores,0.542,0.19699999999999995,Covarite Model + 1 Sample
17,0.804,one_sample_scores,0.681,0.123,Covarite Model + 1 Sample
18,0.883,one_sample_scores,0.872,0.01100000000000001,Covarite Model + 1 Sample
19,0.831,one_sample_scores,0.827,0.0040000000000000036,Covarite Model + 1 Sample
20,0.981,one_sample_scores,0.962,0.019000000000000017,Covarite Model + 1 Sample
21,0.985,one_sample_scores,0.538,0.44699999999999995,Covarite Model + 1 Sample
22,0.791,one_sample_scores,0.715,0.07600000000000007,Covarite Model + 1 Sample
23,0.762,one_sample_scores,0.639,0.123,Covarite Model + 1 Sample
24,0.971,one_sample_scores,0.741,0.22999999999999998,Covarite Model + 1 Sample
25,0.957,one_sample_scores,0.922,0.03499999999999992,Covarite Model + 1 Sample
26,0.991,one_sample_scores,0.886,0.10499999999999998,Covarite Model + 1 Sample
27,0.604,one_sample_scores,0.587,0.017000000000000015,Covarite Model + 1 Sample
28,0.666,one_sample_scores,0.561,0.10499999999999998,Covarite Model + 1 Sample
29,0.598,one_sample_scores,0.478,0.12,Covarite Model + 1 Sample
30,0.931,one_sample_scores,0.853,0.07800000000000007,Covarite Model + 1 Sample
31,0.723,one_sample_scores,0.661,0.061999999999999944,Covarite Model + 1 Sample
32,0.959,one_sample_scores,0.867,0.09199999999999997,Covarite Model + 1 Sample
33,0.649,one_sample_scores,0.467,0.182,Covarite Model + 1 Sample
34,0.777,one_sample_scores,0.768,0.009000000000000008,Covarite Model + 1 Sample
35,0.833,one_sample_scores,0.632,0.20099999999999996,Covarite Model + 1 Sample
36,0.976,one_sample_scores,0.922,0.05399999999999994,Covarite Model + 1 Sample
37,0.951,one_sample_scores,0.91,0.040999999999999925,Covarite Model + 1 Sample
